date,open,high,close,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20,turnover
2016-04-18,6.55,6.56,6.42,6.42,283287.91,-0.13,-1.99,6.512,6.473,6.417,498718.73,486015.14,434016.28,2.55
2016-04-15,6.63,6.63,6.55,6.51,317142.69,-0.05,-0.76,6.52,6.459,6.412,518340.73,484362.59,450034.2,2.86
2016-04-14,6.59,6.62,6.6,6.5,551085.12,-0.02,-0.3,6.48,6.438,6.391,527500.53,486393.04,452167.34,4.96
2016-04-13,6.4,6.85,6.62,6.4,1079227.75,0.25,3.92,6.454,6.409,6.363,554774.08,457158.84,439511.19,9.72
2016-04-12,6.45,6.45,6.37,6.32,262850.19,-0.09,-1.39,6.416,6.362,6.333,417119.29,377486.14,396281.35,2.37
2016-04-11,6.41,6.49,6.46,6.39,381397.91,0.11,1.73,6.434,6.36,6.319,473311.54,379566.0,395906.78,3.44
2016-04-08,6.38,6.41,6.35,6.27,362941.69,-0.12,-1.85,6.398,6.352,6.292,450384.44,369367.78,382952.18,3.27
2016-04-07,6.46,6.58,6.47,6.41,687452.88,0.04,0.62,6.396,6.353,6.271,445285.54,380807.03,372396.47,6.19
2016-04-06,6.44,6.49,6.43,6.36,390953.78,-0.03,-0.46,6.364,6.35,6.249,359543.59,347995.87,348388.62,3.52
2016-04-05,6.27,6.5,6.46,6.26,543811.44,0.18,2.87,6.308,6.355,6.235,337852.99,362614.08,344042.26,4.9
2016-04-01,6.3,6.35,6.28,6.18,266762.41,-0.06,-0.95,6.286,6.361,6.222,285820.45,382017.43,330687.24,2.4
2016-03-31,6.35,6.44,6.34,6.28,337447.19,0.03,0.47,6.306,6.364,6.212,288351.11,415705.82,344213.61,3.04
2016-03-30,6.2,6.32,6.31,6.19,258743.12,0.16,2.6,6.31,6.344,6.209,316328.52,417941.65,362743.13,2.33
2016-03-29,6.35,6.37,6.15,6.11,282500.78,-0.2,-3.15,6.336,6.317,6.203,336448.14,421863.55,372929.59,2.54
2016-03-28,6.4,6.47,6.35,6.3,283648.75,-0.03,-0.47,6.402,6.304,6.192,387375.16,415076.56,372095.44,2.56
2016-03-25,6.38,6.43,6.38,6.3,279415.72,0.02,0.31,6.436,6.278,6.166,478214.41,412247.57,377869.53,2.52
2016-03-24,6.43,6.64,6.36,6.32,477334.22,-0.08,-1.24,6.422,6.231,6.161,543060.53,396536.58,387922.09,4.3
2016-03-23,6.41,6.51,6.44,6.37,359341.25,-0.04,-0.62,6.378,6.189,6.152,519554.78,363985.91,410199.77,3.24
2016-03-22,6.45,6.62,6.48,6.36,537135.88,-0.04,-0.61,6.298,6.147,6.173,507278.95,348781.37,446196.85,4.84
2016-03-21,6.36,6.55,6.52,6.31,737845.0,0.21,3.33,6.206,6.114,6.176,442777.95,325470.45,445318.38,6.65
2016-03-18,6.13,6.4,6.31,6.12,603646.31,0.17,2.77,6.12,6.082,6.178,346280.72,279357.05,433978.95,5.44
2016-03-17,6.02,6.16,6.14,6.01,359805.44,0.1,1.66,6.04,6.06,6.186,250012.62,272721.4,426222.22,3.24
2016-03-16,6.03,6.24,6.04,5.99,297962.12,0.02,0.33,6.0,6.074,6.207,208417.05,307544.61,433320.15,2.68
2016-03-15,6.06,6.11,6.02,5.96,214630.88,-0.07,-1.15,5.996,6.089,6.24,190283.78,323995.64,458133.24,1.93
2016-03-14,5.99,6.15,6.09,5.97,255358.86,0.18,3.05,6.022,6.079,6.258,208162.96,329114.32,468356.97,2.3
2016-03-11,5.9,5.97,5.91,5.83,122305.81,-0.03,-0.51,6.044,6.053,6.256,212433.38,343491.48,464922.43,1.1
2016-03-10,6.04,6.08,5.94,5.91,151827.59,-0.08,-1.33,6.08,6.091,6.271,295430.18,379307.6,473890.25,1.37
2016-03-09,6.01,6.09,6.02,5.95,207295.77,-0.13,-2.11,6.148,6.114,6.282,406672.17,456413.62,478411.03,1.87
2016-03-08,6.18,6.18,6.15,5.9,304026.75,-0.05,-0.81,6.182,6.198,6.284,457707.49,543612.34,476982.12,2.74
2016-03-07,6.14,6.26,6.2,6.13,276711.0,0.11,1.81,6.136,6.237,6.281,450065.68,565166.31,474771.06,2.49
2016-03-04,6.22,6.42,6.09,5.97,537289.81,-0.19,-3.02,6.062,6.274,6.261,474549.58,588600.85,470595.04,4.84
2016-03-03,6.19,6.49,6.28,6.16,708037.5,0.09,1.45,6.102,6.312,6.254,463185.02,579723.03,456998.58,6.38
2016-03-02,5.94,6.24,6.19,5.91,462472.38,0.27,4.56,6.08,6.34,6.228,506155.07,559095.69,436332.29,4.17
2016-03-01,5.88,5.99,5.92,5.75,265817.69,0.09,1.54,6.214,6.391,6.233,629517.19,592270.85,431711.18,2.39
2016-02-29,6.24,6.24,5.83,5.7,399130.53,-0.46,-7.31,6.338,6.437,6.262,680266.95,607599.62,440580.9,3.6
2016-02-26,6.25,6.45,6.29,6.02,480467.0,0.12,1.95,6.486,6.459,6.326,702652.12,586353.38,436385.83,4.33
2016-02-25,6.8,6.8,6.17,6.17,922887.75,-0.69,-10.06,6.522,6.451,6.365,696261.04,568472.91,431480.71,8.31
2016-02-24,6.48,6.96,6.86,6.47,1079283.0,0.32,4.89,6.6,6.449,6.401,612036.31,500408.45,424086.8,9.72
2016-02-23,6.61,6.7,6.54,6.48,519566.47,-0.03,-0.46,6.568,6.369,6.439,555024.51,410351.89,414917.93,4.68
2016-02-22,6.55,6.64,6.57,6.48,511056.38,0.1,1.55,6.536,6.324,6.459,534932.28,384375.8,404442.42,4.6
2016-02-19,6.57,6.59,6.47,6.36,448511.59,-0.09,-1.37,6.432,6.247,6.465,470054.64,352589.23,388799.02,4.04
2016-02-18,6.68,6.68,6.56,6.49,501764.12,-0.14,-2.09,6.38,6.196,6.473,440684.78,334274.13,380585.59,4.52
2016-02-17,6.4,6.78,6.7,6.31,794224.0,0.32,5.02,6.298,6.115,6.486,388780.58,313568.88,368243.44,7.15
2016-02-16,6.15,6.52,6.38,6.09,419105.31,0.33,5.46,6.17,6.075,6.484,265679.27,271151.5,341888.35,3.78
2016-02-15,5.88,6.12,6.05,5.82,186668.2,-0.16,-2.58,6.112,6.087,6.514,233819.32,273562.18,341650.63,1.68
2016-02-05,6.17,6.58,6.21,6.15,301662.25,0.06,0.98,6.062,6.192,6.546,235123.82,286418.28,351627.94,2.72
2016-02-04,6.1,6.25,6.15,6.07,242243.14,0.09,1.49,6.012,6.278,6.606,227863.49,294488.51,355354.6,2.18
2016-02-03,6.0,6.1,6.06,5.91,178717.45,-0.03,-0.49,5.932,6.353,6.668,238357.18,347765.15,347483.61,1.61
2016-02-02,5.82,6.35,6.09,5.82,259805.55,0.29,5.0,5.98,6.509,6.775,276623.73,419483.96,354812.97,2.34
2016-02-01,5.95,6.01,5.8,5.7,193190.69,-0.16,-2.69,6.062,6.593,6.865,313305.05,424509.04,361569.02,1.74
2016-01-29,5.78,6.04,5.96,5.72,265360.62,0.21,3.65,6.322,6.683,6.989,337712.75,425008.8,366505.06,2.39
2016-01-28,6.2,6.26,5.75,5.71,294711.59,-0.55,-8.73,6.544,6.749,7.151,361113.53,426897.04,365915.01,2.65
2016-01-27,6.55,6.6,6.3,5.9,370050.19,-0.2,-3.08,6.774,6.856,7.323,457173.12,422917.99,360830.48,3.33
2016-01-26,7.0,7.24,6.5,6.41,443212.16,-0.6,-8.45,7.038,6.893,7.472,562344.19,412625.2,352989.04,3.99
2016-01-25,7.1,7.25,7.1,6.99,315229.19,0.03,0.42,7.124,6.94,7.603,535713.02,409739.07,348113.69,2.84
2016-01-22,6.97,7.2,7.07,6.76,382364.5,0.17,2.46,7.044,6.899,7.714,512304.86,416837.6,341927.01,3.44
2016-01-21,7.4,7.55,6.9,6.9,775009.56,-0.72,-9.45,6.954,6.934,7.823,492680.55,416220.68,337945.71,6.98
2016-01-20,6.86,7.62,7.62,6.83,895905.56,0.69,9.96,6.938,6.983,7.947,388662.86,347202.08,317735.03,8.07
2016-01-19,6.68,6.97,6.93,6.61,310056.31,0.23,3.43,6.748,7.041,8.043,262906.21,290141.98,289425.35,2.79
2016-01-18,6.41,6.85,6.7,6.41,198188.36,0.08,1.21,6.756,7.137,8.175,283765.12,298629.0,294292.83,1.79
2016-01-15,6.82,7.02,6.62,6.55,284242.97,-0.2,-2.93,6.754,7.295,8.316,321370.34,308001.32,302276.83,2.56
2016-01-14,6.45,6.89,6.82,6.35,254921.12,0.15,2.25,6.914,7.552,8.467,339760.82,304932.98,313481.61,2.3
2016-01-13,6.99,7.05,6.67,6.65,267122.31,-0.3,-4.3,7.028,7.79,8.594,305741.29,298742.98,315611.33,2.41
2016-01-12,6.69,7.14,6.97,6.41,414350.84,0.28,4.18,7.334,8.05,8.733,317377.74,293352.88,319214.6,3.73
2016-01-11,7.25,7.3,6.69,6.68,386214.44,-0.73,-9.84,7.518,8.265,8.861,313492.89,286488.31,318849.71,3.48
2016-01-08,7.68,7.75,7.42,6.79,376195.38,0.03,0.41,7.836,8.528,8.983,294632.31,267016.42,312963.92,3.39
2016-01-07,8.1,8.1,7.39,7.38,84823.47,-0.81,-9.88,8.19,8.712,9.075,270105.14,259670.74,310967.38,0.76
2016-01-06,8.0,8.23,8.2,7.93,325304.56,0.31,3.93,8.552,8.911,9.166,291744.66,288267.97,328589.51,2.93
2016-01-05,7.79,8.3,7.89,7.5,394926.59,-0.39,-4.71,8.766,9.044,9.227,269328.01,288708.73,341273.03,3.56
2016-01-04,9.18,9.19,8.28,8.27,291911.56,-0.91,-9.9,9.012,9.213,9.325,259483.73,289956.66,342078.42,2.63
2015-12-31,9.23,9.27,9.19,9.12,253559.5,-0.01,-0.11,9.22,9.337,9.401,239400.53,296552.33,356166.7,2.28
2015-12-30,9.28,9.3,9.2,9.16,193021.11,-0.07,-0.76,9.234,9.381,9.442,249236.35,322030.24,376984.06,1.73
2015-12-29,9.15,9.29,9.27,9.11,213221.31,0.15,1.65,9.27,9.398,9.478,284791.28,332479.69,411347.38,1.91
2015-12-28,9.33,9.34,9.12,9.11,345705.16,-0.2,-2.15,9.322,9.415,9.521,308089.45,345076.31,459564.25,3.1
2015-12-25,9.3,9.35,9.32,9.25,191495.55,0.06,0.65,9.414,9.456,9.591,320429.6,351211.11,539142.95,1.72
2015-12-24,9.3,9.36,9.26,9.21,302738.62,-0.12,-1.28,9.454,9.438,9.614,353704.13,358911.41,609402.88,2.71
2015-12-23,9.55,9.58,9.38,9.35,370795.78,-0.15,-1.57,9.528,9.438,9.641,394824.14,362264.02,630104.1,3.32
2015-12-22,9.6,9.62,9.53,9.45,329712.12,-0.05,-0.52,9.526,9.421,9.663,380168.1,368911.04,639727.98,2.96
2015-12-21,9.46,9.59,9.58,9.38,407405.94,0.06,0.63,9.508,9.41,9.675,382063.18,393837.33,643191.39,3.65
2015-12-18,9.62,9.63,9.52,9.47,357868.19,-0.11,-1.14,9.498,9.436,9.681,381992.62,394200.18,652040.76,3.21
2015-12-17,9.45,9.73,9.63,9.4,508338.66,0.26,2.77,9.422,9.465,9.693,364118.7,415781.06,664470.06,4.56
2015-12-16,9.47,9.52,9.37,9.32,297515.59,-0.07,-0.74,9.348,9.503,9.696,329703.9,431937.87,661739.79,2.67
2015-12-15,9.53,9.53,9.44,9.34,339187.53,-0.09,-0.94,9.316,9.558,9.707,357653.99,490215.06,677047.69,3.04
2015-12-14,9.18,9.69,9.53,9.16,407053.12,0.39,4.27,9.312,9.626,9.731,405611.47,574052.18,697766.6,3.65
2015-12-11,9.28,9.28,9.14,9.12,268498.59,-0.12,-1.3,9.374,9.725,9.752,406407.75,727074.79,711846.98,2.41
2015-12-10,9.21,9.45,9.26,9.2,336264.66,0.05,0.54,9.508,9.789,9.8,467443.43,859894.35,756328.66,3.01
2015-12-09,9.35,9.41,9.21,9.11,437266.03,-0.21,-2.23,9.658,9.844,9.848,534171.85,897944.19,803153.22,3.92
2015-12-08,9.81,9.81,9.42,9.36,578974.94,-0.42,-4.27,9.8,9.905,9.908,622776.13,910544.92,855668.43,5.19
2015-12-07,9.81,9.86,9.84,9.68,411034.53,0.03,0.31,9.94,9.94,9.931,742492.89,892545.45,864614.82,3.68
2015-12-04,9.95,9.96,9.81,9.75,573677.0,-0.2,-2.0,10.076,9.926,9.935,1047741.84,909881.34,896712.75,5.14
2015-12-03,9.88,10.04,10.01,9.71,669906.75,0.09,0.91,10.07,9.921,9.936,1252345.26,913159.06,912311.54,6.0
2015-12-02,10.11,10.36,9.92,9.48,880287.44,-0.2,-1.98,10.03,9.888,9.92,1261716.52,891541.71,936883.17,7.89
2015-12-01,10.46,10.46,10.12,10.01,1177558.75,-0.4,-3.8,10.01,9.855,9.899,1198313.71,863880.32,923337.91,10.56
